"id","title","category","brand","condition","price","currency","description","attributes","availability","url"
E001,Samsung Galaxy S23 Ultra 256GB,smartphone,Samsung,new,1199.0,BRL,"Samsung Galaxy S23 Ultra com 256GB armazenamento, 6.8'' AMOLED tela, 200MP câmera, Snapdragon 8 Gen 2 chip.","{""color"": ""Phantom Black"", ""storage"": ""256GB"", ""screen_size"": ""6.8"", ""camera"": ""200MP""}",in_stock,https://examplestore.com/product/samsung-galaxy-s23-ultra
E002,Google Pixel 7a 128GB,smartphone,Google,new,449.0,BRL,"Google Pixel 7a com 128GB armazenamento, 6.1'' OLED tela, 64MP câmera, Android 13.","{""color"": ""Snow"", ""storage"": ""128GB"", ""screen_size"": ""6.1"", ""camera"": ""64MP""}",in_stock,https://examplestore.com/product/google-pixel-7a
E003,Dell XPS 13 Notebook 512GB,laptop,Dell,new,1399.0,BRL,"Dell XPS 13 com Intel i7 13th Gen, 16GB RAM, 512GB SSD, 13.4'' InfinityEdge tela.","{""processor"": ""Intel i7 13th Gen"", ""ram"": ""16GB"", ""storage"": ""512GB"", ""screen_size"": ""13.4""}",in_stock,https://examplestore.com/product/dell-xps-13
E004,Samsung Galaxy S23 Ultra 256GB Variant 2,smartphone,Samsung,new,1199.0,BRL,"Samsung Galaxy S23 Ultra com 256GB armazenamento, 6.8'' AMOLED tela, 200MP câmera, Snapdragon 8 Gen 2 chip.","{""color"": ""Phantom Black"", ""storage"": ""256GB"", ""screen_size"": ""6.8"", ""camera"": ""200MP""}",in_stock,https://examplestore.com/product/samsung-galaxy-s23-ultra
E005,Google Pixel 7a 128GB Variant 2,smartphone,Google,new,449.0,BRL,"Google Pixel 7a com 128GB armazenamento, 6.1'' OLED tela, 64MP câmera, Android 13.","{""color"": ""Snow"", ""storage"": ""128GB"", ""screen_size"": ""6.1"", ""camera"": ""64MP""}",in_stock,https://examplestore.com/product/google-pixel-7a
E006,Dell XPS 13 Notebook 512GB Variant 2,laptop,Dell,new,1399.0,BRL,"Dell XPS 13 com Intel i7 13th Gen, 16GB RAM, 512GB SSD, 13.4'' InfinityEdge tela.","{""processor"": ""Intel i7 13th Gen"", ""ram"": ""16GB"", ""storage"": ""512GB"", ""screen_size"": ""13.4""}",in_stock,https://examplestore.com/product/dell-xps-13
E007,Samsung Galaxy S23 Ultra 256GB Variant 3,smartphone,Samsung,new,1199.0,BRL,"Samsung Galaxy S23 Ultra com 256GB armazenamento, 6.8'' AMOLED tela, 200MP câmera, Snapdragon 8 Gen 2 chip.","{""color"": ""Phantom Black"", ""storage"": ""256GB"", ""screen_size"": ""6.8"", ""camera"": ""200MP""}",in_stock,https://examplestore.com/product/samsung-galaxy-s23-ultra
E008,Google Pixel 7a 128GB Variant 3,smartphone,Google,new,449.0,BRL,"Google Pixel 7a com 128GB armazenamento, 6.1'' OLED tela, 64MP câmera, Android 13.","{""color"": ""Snow"", ""storage"": ""128GB"", ""screen_size"": ""6.1"", ""camera"": ""64MP""}",in_stock,https://examplestore.com/product/google-pixel-7a
E009,Dell XPS 13 Notebook 512GB Variant 3,laptop,Dell,new,1399.0,BRL,"Dell XPS 13 com Intel i7 13th Gen, 16GB RAM, 512GB SSD, 13.4'' InfinityEdge tela.","{""processor"": ""Intel i7 13th Gen"", ""ram"": ""16GB"", ""storage"": ""512GB"", ""screen_size"": ""13.4""}",in_stock,https://examplestore.com/product/dell-xps-13
E010,Samsung Galaxy S23 Ultra 256GB Variant 4,smartphone,Samsung,new,1199.0,BRL,"Samsung Galaxy S23 Ultra com 256GB armazenamento, 6.8'' AMOLED tela, 200MP câmera, Snapdragon 8 Gen 2 chip.","{""color"": ""Phantom Black"", ""storage"": ""256GB"", ""screen_size"": ""6.8"", ""camera"": ""200MP""}",in_stock,https://examplestore.com/product/samsung-galaxy-s23-ultra
E011,Google Pixel 7a 128GB Variant 4,smartphone,Google,new,449.0,BRL,"Google Pixel 7a com 128GB armazenamento, 6.1'' OLED tela, 64MP câmera, Android 13.","{""color"": ""Snow"", ""storage"": ""128GB"", ""screen_size"": ""6.1"", ""camera"": ""64MP""}",in_stock,https://examplestore.com/product/google-pixel-7a
E012,Dell XPS 13 Notebook 512GB Variant 4,laptop,Dell,new,1399.0,BRL,"Dell XPS 13 com Intel i7 13th Gen, 16GB RAM, 512GB SSD, 13.4'' InfinityEdge tela.","{""processor"": ""Intel i7 13th Gen"", ""ram"": ""16GB"", ""storage"": ""512GB"", ""screen_size"": ""13.4""}",in_stock,https://examplestore.com/product/dell-xps-13
E013,Samsung Galaxy S23 Ultra 256GB Variant 5,smartphone,Samsung,new,1199.0,BRL,"Samsung Galaxy S23 Ultra com 256GB armazenamento, 6.8'' AMOLED tela, 200MP câmera, Snapdragon 8 Gen 2 chip.","{""color"": ""Phantom Black"", ""storage"": ""256GB"", ""screen_size"": ""6.8"", ""camera"": ""200MP""}",in_stock,https://examplestore.com/product/samsung-galaxy-s23-ultra
E014,Google Pixel 7a 128GB Variant 5,smartphone,Google,new,449.0,BRL,"Google Pixel 7a com 128GB armazenamento, 6.1'' OLED tela, 64MP câmera, Android 13.","{""color"": ""Snow"", ""storage"": ""128GB"", ""screen_size"": ""6.1"", ""camera"": ""64MP""}",in_stock,https://examplestore.com/product/google-pixel-7a
E015,Dell XPS 13 Notebook 512GB Variant 5,laptop,Dell,new,1399.0,BRL,"Dell XPS 13 com Intel i7 13th Gen, 16GB RAM, 512GB SSD, 13.4'' InfinityEdge tela.","{""processor"": ""Intel i7 13th Gen"", ""ram"": ""16GB"", ""storage"": ""512GB"", ""screen_size"": ""13.4""}",in_stock,https://examplestore.com/product/dell-xps-13
